"Country" "Year" "Value"
"Mexico" 2006 160000
"Mexico" 2011 180000
"Mongolia" 2001 NA
"Mongolia" 2011 NA
"Mozambique" 2006 1200000
"Mozambique" 2011 1400000
"Mozambique" 2001 850000
"Myanmar" 2011 220000
"Namibia" 2011 190000
"Nepal" 2001 43000
"Nepal" 2011 49000
"Nepal" 2006 63000
"Netherlands" 2001 19000
"New Zealand" 2011 2600
"Nicaragua" 2001 2200
"Nicaragua" 2006 4100
"Nicaragua" 2011 7600
"Nigeria" 2006 2900000
"Nigeria" 2011 3400000
"Norway" 2001 3200
"Norway" 2006 3800
"Pakistan" 2011 130000
"Pakistan" 2006 41000
"Panama" 2011 18000
"Panama" 2006 21000
"Paraguay" 2001 4400
"Paraguay" 2006 6900
"Paraguay" 2011 13000
"Peru" 2006 70000
"Philippines" 2011 19000
"Poland" 2001 24000
"Poland" 2006 30000
"Poland" 2011 35000
"Republic of Korea" 2011 15000
"Republic of Moldova" 2001 11000
"Republic of Moldova" 2006 12000
"Republic of Moldova" 2011 15000
"Russian Federation" 2006 0
"Russian Federation" 2011 0
"Rwanda" 2006 200000
"Rwanda" 2011 210000
"Senegal" 2001 24000
"Senegal" 2006 38000
"Senegal" 2011 53000
"Serbia" 2006 3000
"Singapore" 2001 2700
"Singapore" 2006 2900
"Singapore" 2011 3400
"Slovakia" 2001 NA
"Slovenia" 2006 NA
"Somalia" 2001 34000
"Somalia" 2006 35000
"Somalia" 2011 35000
"Spain" 2006 130000
"Spain" 2011 150000
"Sri Lanka" 2001 1900
"Sri Lanka" 2006 3000
"Sri Lanka" 2011 4200
"South Sudan" 2006 NA
"South Sudan" 2011 150000
"Suriname" 2011 3400
"Suriname" 2006 5300
"Sweden" 2001 6900
"Sweden" 2006 8000
"Sweden" 2011 9100
"Switzerland" 2001 14000
"Tajikistan" 2011 11000
"Thailand" 2011 490000
"Thailand" 2006 550000
"Thailand" 2001 630000
"Togo" 2001 120000
"Trinidad and Tobago" 2011 13000
"Tunisia" 2006 1000
"Tunisia" 2011 1700
"Tunisia" 2001 NA
"Uganda" 2011 1400000
"Uganda" 2001 990000
"Ukraine" 2011 230000
"Ukraine" 2001 250000
"United Republic of Tanzania" 2001 1400000
"United Republic of Tanzania" 2006 1400000
"United Republic of Tanzania" 2011 1600000
"United States of America" 2001 1000000
"United States of America" 2006 1200000
"Uzbekistan" 2001 NA
"Uzbekistan" 2006 NA
"Uzbekistan" 2011 NA
"Venezuela (Bolivarian Republic of)" 2001 58000
"Viet Nam" 2011 250000
"Yemen" 2001 10000
"Yemen" 2006 17000
"Yemen" 2011 22000
"Zimbabwe" 2001 1800000
